experiment,mean,std,speedup
cuda,5.231979999999999,1.0410543274076935,5.205384538931724
mpi_1,25.4701712,1.6420219226276749,1.0692691300009793
mpi_16,18.0321544,1.4000924788948148,1.5103280060645443
mpi_2,16.50962273333333,1.609195424076377,1.6496117591477693
mpi_32,19.599732333333332,1.5171300326883495,1.3895326393658063
mpi_4,13.531882066666666,1.5234199908754391,2.0126149242083007
mpi_8,15.880335866666666,1.7108650159731593,1.7149805916363532
omp_1,26.329160933333334,1.0893887000510531,1.0343841897946897
omp_16,13.7511486,1.4197215942748274,1.9805231251737034
omp_2,16.5765676,1.7159629288504374,1.6429497624104037
omp_32,13.958779,1.460571603896228,1.9510637570807587
omp_4,13.336698466666666,1.5161824707210665,2.042069697239462
omp_8,13.380344133333335,1.5430588878591986,2.0354086209302378
seq,27.234467799999997,2.358336260587177,1.0
